date,day_of_week,is_weekend,month,day_of_year,academic_phase,is_holiday,avg_temp_c,max_temp_c,rainfall_mm,cloud_cover,power_cut_hours,occupancy_total,hostellers_present,day_scholars_present,electricity_kwh,diesel_l,water_l,waste_kg,lpg_kg,solar_kwh_generated,carbon_kg,carbon_kg_next_day
2023-01-15,6,1,1,15,even_sem_classes,1,24.7,31.5,0.0,0.19,0,3500,2890,205,7916.5,0.0,445699.1,846.0,55.93,833.5,7078.4,9343.4
2023-01-16,0,0,1,16,even_sem_classes,0,21.8,28.3,0.0,0.16,0,7557,3298,3854,9661.1,0.0,620842.6,1810.8,88.82,855.4,9343.4,9683.5
2023-01-17,1,0,1,17,even_sem_classes,0,21.5,28.2,0.0,0.14,0,7557,3298,3854,9664.1,0.0,707741.7,1804.2,84.48,869.9,9683.5,9955.6
2023-01-18,2,0,1,18,even_sem_classes,0,21.5,28.0,0.0,0.08,0.42,7557,3298,3854,9955.1,16.0,636348.8,1832.8,86.7,913.7,9955.6,9978.2
2023-01-19,3,0,1,19,even_sem_classes,0,22.4,30.6,0.0,0.22,0.18,7557,3298,3854,9861.3,6.9,596194.7,1837.3,88.38,811.6,9978.2,10094.7
2023-01-20,4,0,1,20,even_sem_classes,0,20.9,27.0,0.0,0.17,0,7557,3298,3854,10127.4,0.0,633512.7,1798.8,86.56,848.1,10094.7,7304.6
2023-01-21,5,1,1,21,even_sem_classes,0,21.7,27.1,0.0,0.23,0.26,3875,3060,410,7395.5,8.0,499790.3,930.1,61.57,804.3,7304.6,6742.8
2023-01-22,6,1,1,22,even_sem_classes,0,20.8,27.6,0.0,0.15,0.76,3875,3060,410,7218.6,23.3,477000.4,925.4,60.45,862.7,6742.8,9664.1
2023-01-23,0,0,1,23,even_sem_classes,0,24.0,30.5,0.0,0.32,0,7557,3298,3854,10063.1,0.0,645494.8,1817.1,87.27,738.7,9664.1,9844.3
2023-01-24,1,0,1,24,even_sem_classes,0,22.8,29.6,0.0,0.13,0.6,7557,3298,3854,9714.2,22.9,623828.1,1861.2,84.48,877.2,9844.3,9794.9
2023-01-25,2,0,1,25,even_sem_classes,0,20.2,26.2,0.0,0.07,0.84,7557,3298,3854,9694.0,32.0,596495.5,1813.6,85.27,921.0,9794.9,7263.5
2023-01-26,3,0,1,26,even_sem_classes,1,20.7,26.7,0.0,0.29,0.72,3500,2890,205,7516.9,21.5,436650.0,821.4,54.88,760.6,7263.5,9451.3
2023-01-27,4,0,1,27,even_sem_classes,0,21.8,28.7,0.0,0.15,0.48,7557,3298,3854,9767.9,18.3,592987.6,1797.9,84.87,862.7,9451.3,7258.5
2023-01-28,5,1,1,28,even_sem_classes,0,22.4,28.7,0.0,0.16,0.38,3875,3060,410,7540.6,11.6,443817.4,919.9,62.89,855.4,7258.5,7051.8
2023-01-29,6,1,1,29,even_sem_classes,0,22.8,29.7,0.0,0.19,0.08,3875,3060,410,7668.0,2.5,478586.9,958.3,59.34,833.5,7051.8,9195.0
2023-01-30,0,0,1,30,even_sem_classes,0,22.4,28.4,0.0,0.23,0,7557,3298,3854,9439.5,0.0,556229.9,1812.6,85.63,804.3,9195.0,9913.2
2023-01-31,1,0,1,31,even_sem_classes,0,22.0,27.9,0.0,0.2,0.02,7557,3298,3854,10014.1,0.8,624538.2,1802.4,85.39,826.2,9913.2,9594.5
2023-02-01,2,0,2,32,even_sem_classes,0,20.2,26.0,0.0,0.1,0,7557,3298,3854,9459.3,0.0,619640.7,1817.4,85.24,899.1,9594.5,10112.2
2023-02-02,3,0,2,33,even_sem_classes,0,20.8,27.6,3.3,0.09,0.04,7557,3298,3854,10296.4,1.5,584054.4,1808.6,86.38,906.4,10112.2,9757.7
2023-02-03,4,0,2,34,even_sem_classes,0,21.6,29.4,0.0,0.0,0.28,7557,3298,3854,9685.1,10.7,624425.2,1820.0,84.64,972.0,9757.7,7417.3
2023-02-04,5,1,2,35,even_sem_classes,0,23.8,30.7,0.0,0.0,0.14,3875,3060,410,7789.8,4.3,493010.8,945.7,61.74,972.0,7417.3,6683.4
2023-02-05,6,1,2,36,even_sem_classes,0,20.8,27.0,0.0,0.11,0.62,3875,3060,410,7176.1,19.0,478710.6,901.3,63.02,891.8,6683.4,9422.7
2023-02-06,0,0,2,37,even_sem_classes,0,21.8,27.4,0.0,0.35,0.44,7557,3298,3854,9633.1,16.8,609133.5,1839.9,88.15,716.9,9422.7,9870.7
2023-02-07,1,0,2,38,even_sem_classes,0,22.9,29.8,0.0,0.09,0,7557,3298,3854,9982.1,0.0,621044.9,1803.3,86.76,906.4,9870.7,10244.1
2023-02-08,2,0,2,39,even_sem_classes,0,21.6,27.4,0.0,0.33,0.0,7557,3298,3854,10245.6,0.0,544846.8,1838.6,82.33,731.4,10244.1,10105.2
2023-02-09,3,0,2,40,even_sem_classes,0,20.9,29.0,0.0,0.33,0.31,7557,3298,3854,9895.4,11.8,640338.0,1823.8,85.61,731.4,10105.2,9890.4
2023-02-10,4,0,2,41,even_sem_classes,0,20.6,26.3,0.0,0.08,0,7557,3298,3854,9857.6,0.0,614377.0,1812.8,87.45,913.7,9890.4,7313.7
2023-02-11,5,1,2,42,even_sem_classes,0,20.9,27.1,0.0,0.0,0.0,3875,3060,410,7691.5,0.0,450385.8,918.5,59.46,972.0,7313.7,7019.2
2023-02-12,6,1,2,43,even_sem_classes,0,23.5,29.8,0.0,0.07,0,3875,3060,410,7749.8,0.0,457572.0,937.5,57.47,921.0,7019.2,9624.4
2023-02-13,0,0,2,44,even_sem_classes,0,22.8,28.5,0.0,0.0,0,7557,3298,3854,10198.9,0.0,640116.3,1813.7,84.0,972.0,9624.4,10041.1
2023-02-14,1,0,2,45,even_sem_classes,0,22.1,28.1,0.0,0.06,0.16,7557,3298,3854,10178.3,6.1,659420.1,1798.1,86.09,928.3,10041.1,9743.2
2023-02-15,2,0,2,46,even_sem_classes,0,21.9,27.3,0.0,0.14,0.29,7557,3298,3854,9602.2,11.1,604609.6,1804.2,85.89,869.9,9743.2,10067.4
2023-02-16,3,0,2,47,even_sem_classes,0,21.7,28.3,0.0,0.26,0.36,7557,3298,3854,10036.3,13.7,600974.9,1806.5,85.21,782.5,10067.4,10200.2
2023-02-17,4,0,2,48,even_sem_classes,0,20.3,26.8,5.6,0.29,0,7557,3298,3854,10117.2,0.0,634915.7,1830.6,89.16,760.6,10200.2,7522.1
2023-02-18,5,1,2,49,even_sem_classes,0,21.2,27.6,0.0,0.21,0,3875,3060,410,7732.0,0.0,428536.8,950.1,60.45,818.9,7522.1,7099.5
2023-02-19,6,1,2,50,even_sem_classes,0,23.7,29.7,0.0,0.13,0,3875,3060,410,7762.7,0.0,435576.2,949.8,59.11,877.2,7099.5,9255.9
2023-02-20,0,0,2,51,even_sem_classes,0,20.7,27.3,0.0,0.04,0,7557,3298,3854,9629.6,0.0,609076.2,1812.8,86.38,942.8,9255.9,9866.6
2023-02-21,1,0,2,52,even_sem_classes,0,21.4,28.5,0.0,0.1,0.04,7557,3298,3854,9975.5,1.5,661814.0,1812.2,85.26,899.1,9866.6,10133.9
2023-02-22,2,0,2,53,even_sem_classes,0,20.4,27.5,0.0,0.18,0.38,7557,3298,3854,10176.6,14.5,591912.8,1803.8,83.0,840.8,10133.9,9800.0
2023-02-23,3,0,2,54,even_sem_classes,0,21.7,27.4,1.2,0.31,0.53,7557,3298,3854,9502.0,20.2,570290.5,1825.8,83.83,746.0,9800.0,10007.0
2023-02-24,4,0,2,55,even_sem_classes,0,21.2,27.8,0.0,0.22,0.35,7557,3298,3854,9971.8,13.3,601359.2,1799.9,86.64,811.6,10007.0,7645.7
2023-02-25,5,1,2,56,even_sem_classes,0,22.7,30.0,4.8,0.17,0.32,3875,3060,410,7939.4,9.8,466579.3,941.0,61.86,848.1,7645.7,6848.0
2023-02-26,6,1,2,57,even_sem_classes,0,22.7,29.4,0.0,0.07,0.53,3875,3060,410,7361.9,16.2,487477.0,935.6,59.6,921.0,6848.0,9351.8
2023-02-27,0,0,2,58,even_sem_classes,0,21.9,28.4,0.0,0.24,0.08,7557,3298,3854,9710.6,3.0,571446.7,1799.1,83.74,797.0,9351.8,9782.7
2023-02-28,1,0,2,59,even_sem_classes,0,22.4,28.7,3.5,0.28,0,7557,3298,3854,9687.8,0.0,624365.3,1836.5,85.88,767.9,9782.7,9555.4
2023-03-01,2,0,3,60,even_sem_classes,0,21.1,26.5,0.0,0.05,0.41,7557,3298,3854,9419.8,15.6,620290.9,1815.8,84.93,935.6,9555.4,10023.1
2023-03-02,3,0,3,61,even_sem_classes,0,23.3,30.6,0.0,0.12,0.49,7557,3298,3854,10090.6,18.7,604899.8,1808.7,86.2,884.5,10023.1,9817.7
2023-03-03,4,0,3,62,even_sem_classes,0,19.7,25.8,0.0,0.12,0.14,7557,3298,3854,9736.8,5.3,588199.4,1820.0,84.42,884.5,9817.7,7236.4
2023-03-04,5,1,3,63,even_sem_classes,0,21.8,29.2,0.0,0.0,0.49,3875,3060,410,7552.1,15.0,478123.3,909.3,58.36,972.0,7236.4,6911.4
2023-03-05,6,1,3,64,even_sem_classes,0,22.6,29.7,0.0,0.13,0,3875,3060,410,7568.3,0.0,426641.4,939.6,60.26,877.2,6911.4,9648.0
2023-03-06,0,0,3,65,even_sem_classes,0,24.0,30.7,0.0,0.11,0.09,7557,3298,3854,10181.5,3.4,591753.6,1804.3,88.67,891.8,9648.0,10201.2
2023-03-07,1,0,3,66,even_sem_classes,0,22.3,29.0,0.0,0.21,0,7557,3298,3854,10318.0,0.0,607370.8,1802.2,89.43,818.9,10201.2,9786.7
2023-03-08,2,0,3,67,even_sem_classes,0,22.1,29.7,0.0,0.23,0.1,7557,3298,3854,9599.2,3.8,593103.9,1799.8,85.96,804.3,9786.7,9907.9
2023-03-09,3,0,3,68,even_sem_classes,0,21.5,28.3,0.0,0.3,0,7557,3298,3854,9813.6,0.0,583077.1,1810.6,85.75,753.3,9907.9,10015.8
2023-03-10,4,0,3,69,even_sem_classes,0,21.1,27.4,0.0,0.07,0.22,7557,3298,3854,10034.7,8.4,642673.9,1826.4,85.86,921.0,10015.8,7448.2
2023-03-11,5,1,3,70,even_sem_classes,0,21.4,28.1,0.0,0.26,0.44,3875,3060,410,7589.0,13.5,458790.9,936.8,60.97,782.5,7448.2,7405.1
2023-03-12,6,1,3,71,even_sem_classes,0,22.9,29.4,0.0,0.17,0,3875,3060,410,8216.7,0.0,427320.7,922.4,62.72,848.1,7405.1,9618.3
2023-03-13,0,0,3,72,even_sem_classes,0,23.8,28.7,0.0,0.16,0,7557,3298,3854,9981.0,0.0,618836.9,1818.1,87.38,855.4,9618.3,9840.4
2023-03-14,1,0,3,73,even_sem_classes,0,21.8,28.6,0.0,0.06,0.01,7557,3298,3854,9882.7,0.4,638241.3,1829.2,84.2,928.3,9840.4,10046.1
2023-03-15,2,0,3,74,even_sem_classes,0,25.6,33.1,0.0,0.27,0.13,7557,3298,3854,10015.5,5.0,581531.3,1811.4,83.0,775.2,10046.1,9807.2
2023-03-16,3,0,3,75,even_sem_classes,0,23.1,30.3,0.0,0.14,0,7557,3298,3854,9706.2,0.0,634689.9,1810.4,86.32,869.9,9807.2,9983.8
2023-03-17,4,0,3,76,even_sem_classes,0,24.0,30.7,0.0,0.2,0.41,7557,3298,3854,9939.8,15.6,593630.6,1806.8,86.06,826.2,9983.8,7237.1
2023-03-18,5,1,3,77,even_sem_classes,0,24.2,30.4,0.0,0.04,0.55,3875,3060,410,7479.1,16.9,437005.3,914.4,62.04,942.8,7237.1,6915.5
2023-03-19,6,1,3,78,even_sem_classes,0,22.0,27.4,0.0,0.11,0.13,3875,3060,410,7553.3,4.0,470936.4,941.1,60.59,891.8,6915.5,9165.7
2023-03-20,0,0,3,79,even_sem_classes,0,21.1,27.5,0.0,0.2,0,7557,3298,3854,9435.7,0.0,578963.0,1813.6,86.16,826.2,9165.7,10135.7
2023-03-21,1,0,3,80,even_sem_classes,0,22.8,28.6,0.0,0.19,0.72,7557,3298,3854,10241.0,27.4,635520.2,1796.8,91.41,833.5,10135.7,9744.8
2023-03-22,2,0,3,81,even_sem_classes,0,21.4,27.6,0.0,0.08,0.09,7557,3298,3854,9687.8,3.4,575136.9,1786.5,86.62,913.7,9744.8,9963.3
2023-03-23,3,0,3,82,even_sem_classes,0,24.1,30.0,0.0,0.06,0,7557,3298,3854,10112.0,0.0,585632.0,1787.7,84.68,928.3,9963.3,10063.2
2023-03-24,4,0,3,83,even_sem_classes,0,24.3,30.3,0.0,0.38,0,7557,3298,3854,9904.2,0.0,604121.2,1825.9,87.29,695.0,10063.2,7347.6
2023-03-25,5,1,3,84,even_sem_classes,0,22.7,26.8,0.0,0.12,0,3875,3060,410,7568.3,0.0,469323.6,943.1,60.69,884.5,7347.6,6896.7
2023-03-26,6,1,3,85,even_sem_classes,0,21.4,27.9,0.0,0.08,0.37,3875,3060,410,7524.6,11.3,457228.4,922.8,62.63,913.7,6896.7,9521.2
2023-03-27,0,0,3,86,even_sem_classes,0,22.8,29.3,0.0,0.21,0,7557,3298,3854,9904.3,0.0,682679.9,1812.1,85.06,818.9,9521.2,9809.7
2023-03-28,1,0,3,87,even_sem_classes,0,23.2,30.2,0.0,0.05,0,7557,3298,3854,9925.9,0.0,658547.3,1777.5,85.86,935.6,9809.7,9909.3
2023-03-29,2,0,3,88,even_sem_classes,0,24.5,29.7,0.0,0.3,0.52,7557,3298,3854,9706.0,19.8,605918.5,1839.8,82.77,753.3,9909.3,10200.9
2023-03-30,3,0,3,89,even_sem_classes,0,24.5,29.6,0.0,0.14,0,7557,3298,3854,10287.3,0.0,650490.3,1813.6,86.9,869.9,10200.9,10143.9
2023-03-31,4,0,3,90,even_sem_classes,0,24.4,30.3,0.0,0.25,0,7557,3298,3854,10047.4,0.0,632708.9,1835.2,84.8,789.8,10143.9,7142.0
2023-04-01,5,1,4,91,even_sem_classes,0,23.0,29.6,0.0,0.12,0.2,3875,3060,410,7242.3,6.1,435299.3,944.5,62.41,884.5,7142.0,6774.7
2023-04-02,6,1,4,92,even_sem_classes,0,20.7,26.9,0.0,0.15,0,3875,3060,410,7389.9,0.0,478444.4,918.5,58.96,862.7,6774.7,9619.7
2023-04-03,0,0,4,93,even_sem_classes,0,23.3,29.7,0.0,0.05,0.54,7557,3298,3854,10140.0,20.6,642264.3,1811.1,85.02,935.6,9619.7,9907.0
2023-04-04,1,0,4,94,even_sem_classes,0,22.1,29.6,0.0,0.0,0.16,7557,3298,3854,10067.1,6.1,604701.1,1788.8,86.07,972.0,9907.0,10041.3
2023-04-05,2,0,4,95,even_sem_classes,0,23.5,31.0,0.0,0.21,0.85,7557,3298,3854,9929.8,32.4,602026.7,1816.4,83.75,818.9,10041.3,10159.7
2023-04-06,3,0,4,96,even_sem_classes,0,22.1,27.4,0.0,0.2,0.86,7557,3298,3854,10047.5,32.8,606815.7,1827.7,86.91,826.2,10159.7,10254.1
2023-04-07,4,0,4,97,even_sem_classes,0,24.9,30.1,0.0,0.08,0.88,7557,3298,3854,10278.1,33.5,598171.1,1806.1,86.5,913.7,10254.1,7504.3
2023-04-08,5,1,4,98,even_sem_classes,0,23.6,29.5,0.0,0.17,0.89,3875,3060,410,7651.8,27.3,489186.2,916.9,61.49,848.1,7504.3,7217.3
2023-04-09,6,1,4,99,even_sem_classes,0,25.0,30.9,0.0,0.26,0.15,3875,3060,410,7849.8,4.6,469635.0,921.7,59.31,782.5,7217.3,9756.7
2023-04-10,0,0,4,100,even_sem_classes,0,24.9,31.5,0.0,0.28,0.6,7557,3298,3854,10057.8,22.9,659450.4,1810.6,85.49,767.9,9756.7,9906.0
2023-04-11,1,0,4,101,even_sem_classes,0,25.6,31.6,0.0,0.0,0.07,7557,3298,3854,10007.9,2.7,635637.9,1806.7,86.41,972.0,9906.0,9756.3
2023-04-12,2,0,4,102,even_sem_classes,0,22.8,28.7,0.0,0.26,0.14,7557,3298,3854,9619.8,5.3,583134.2,1789.6,83.54,782.5,9756.3,9782.8
2023-04-13,3,0,4,103,even_sem_classes,0,22.6,28.7,0.0,0.08,0,7557,3298,3854,9764.5,0.0,636531.0,1820.4,85.77,913.7,9782.8,9904.6
2023-04-14,4,0,4,104,even_sem_classes,0,23.8,30.9,0.0,0.24,0,7557,3298,3854,9842.0,0.0,626311.2,1803.6,86.56,797.0,9904.6,7659.5
2023-04-15,5,1,4,105,even_sem_classes,0,23.4,30.4,0.0,0.0,0.93,3875,3060,410,8002.2,28.5,499044.7,960.2,62.14,972.0,7659.5,7220.5
2023-04-16,6,1,4,106,even_sem_classes,0,23.3,31.8,0.0,0.12,0,3875,3060,410,7918.9,0.0,489451.9,931.6,58.45,884.5,7220.5,9626.6
2023-04-17,0,0,4,107,even_sem_classes,0,25.2,31.2,0.0,0.03,0.48,7557,3298,3854,10071.1,18.3,615537.3,1817.0,87.22,950.1,9626.6,9657.1
2023-04-18,1,0,4,108,even_sem_classes,0,23.9,30.9,0.0,0.11,0.64,7557,3298,3854,9504.6,24.4,604691.8,1828.2,88.1,891.8,9657.1,10248.7
2023-04-19,2,0,4,109,even_sem_classes,0,27.0,33.1,0.0,0.26,0.47,7557,3298,3854,10293.4,17.9,570957.3,1820.1,85.63,782.5,10248.7,9217.8
2023-04-20,3,0,4,110,even_sem_exam,0,22.3,27.7,0.0,0.23,0.23,6915,3230,3280,8985.3,8.5,555324.1,1660.6,81.42,804.3,9217.8,9079.2
2023-04-21,4,0,4,111,even_sem_exam,0,25.0,30.9,0.0,0.23,0.43,6915,3230,3280,8999.7,15.8,570796.0,1642.3,82.45,804.3,9079.2,7005.2
2023-04-22,5,1,4,112,even_sem_exam,0,25.0,31.1,0.0,0.19,0.54,3875,3060,410,7239.7,16.6,443768.0,911.7,60.34,833.5,7005.2,6769.0
2023-04-23,6,1,4,113,even_sem_exam,0,25.2,31.8,0.0,0.08,0.25,3875,3060,410,7433.8,7.7,462468.4,919.8,61.24,913.7,6769.0,9079.4
2023-04-24,0,0,4,114,even_sem_exam,0,27.5,33.8,0.0,0.2,0.94,6915,3230,3280,9449.3,34.6,594713.6,1665.8,81.05,826.2,9079.4,9220.8
2023-04-25,1,0,4,115,even_sem_exam,0,26.2,32.6,2.7,0.24,0.14,6915,3230,3280,9192.2,5.2,601421.4,1683.0,81.85,797.0,9220.8,9135.9
2023-04-26,2,0,4,116,even_sem_exam,0,23.8,30.1,0.0,0.17,0,6915,3230,3280,9135.8,0.0,607148.5,1663.8,80.9,848.1,9135.9,9295.5
2023-04-27,3,0,4,117,even_sem_exam,0,26.1,31.1,0.0,0.0,0.55,6915,3230,3280,9471.7,20.2,597686.3,1641.0,82.37,972.0,9295.5,9192.6
2023-04-28,4,0,4,118,even_sem_exam,0,23.4,30.0,0.0,0.27,0.55,6915,3230,3280,9095.7,20.2,594637.4,1646.9,79.65,775.2,9192.6,7219.8
2023-04-29,5,1,4,119,even_sem_exam,0,24.2,33.1,0.0,0.02,0.47,3875,3060,410,7599.4,14.4,481899.6,943.1,58.86,957.4,7219.8,6856.3
2023-04-30,6,1,4,120,even_sem_exam,0,26.2,31.4,0.0,0.08,0.41,3875,3060,410,7483.3,12.6,482458.6,924.2,60.94,913.7,6856.3,6888.6
2023-05-01,0,0,5,121,even_sem_exam,1,24.6,31.6,0.0,0.28,0.91,3500,2890,205,7556.0,27.2,446619.7,845.6,56.51,767.9,6888.6,8741.5
2023-05-02,1,0,5,122,even_sem_exam,0,26.0,31.1,0.0,0.04,0.15,6915,3230,3280,9170.2,5.5,598334.5,1646.2,82.82,942.8,8741.5,9123.5
2023-05-03,2,0,5,123,even_sem_exam,0,26.3,31.2,0.0,0.28,0.27,6915,3230,3280,9095.3,9.9,616082.5,1664.7,83.18,767.9,9123.5,8976.5
2023-05-04,3,0,5,124,even_sem_exam,0,26.5,33.3,0.0,0.04,0.73,6915,3230,3280,8939.9,26.9,561388.4,1682.5,77.69,942.8,8976.5,9473.8
2023-05-05,4,0,5,125,even_sem_exam,0,27.1,32.6,0.0,0.38,0.46,6915,3230,3280,9466.7,16.9,564957.3,1669.5,83.17,695.0,9473.8,7360.1
2023-05-06,5,1,5,126,even_sem_exam,0,26.2,33.4,4.6,0.17,0.22,3875,3060,410,7682.5,6.7,457122.0,927.2,60.57,848.1,7360.1,6715.8
2023-05-07,6,1,5,127,even_sem_exam,0,25.9,31.8,0.0,0.19,0.26,3875,3060,410,7193.0,8.0,452125.4,927.4,61.43,833.5,6715.8,8713.2
2023-05-08,0,0,5,128,even_sem_exam,0,27.0,32.6,0.0,0.05,0.17,6915,3230,3280,9153.3,6.3,563383.2,1663.9,81.07,935.6,8713.2,9177.6
2023-05-09,1,0,5,129,even_sem_exam,0,26.3,32.3,0.0,0.18,0,6915,3230,3280,9295.0,0.0,613385.9,1663.8,80.9,840.8,9177.6,9479.5
2023-05-10,2,0,5,130,even_sem_exam,0,26.9,33.2,0.0,0.22,0.34,6915,3230,3280,9550.7,12.5,633681.9,1660.8,81.71,811.6,9479.5,9346.1
2023-05-11,3,0,5,131,even_sem_exam,0,28.0,34.3,0.0,0.04,0.39,6915,3230,3280,9434.3,14.4,590782.1,1656.2,84.41,942.8,9346.1,9165.1
2023-05-12,4,0,5,132,even_sem_exam,0,27.5,34.7,0.0,0.05,0.27,6915,3230,3280,9220.2,9.9,589727.2,1661.6,79.83,935.6,9165.1,7700.0
2023-05-13,5,1,5,133,even_sem_exam,0,29.1,34.4,0.0,0.02,0.84,3875,3060,410,8255.2,25.7,462265.1,950.0,59.11,957.4,7700.0,7381.7
2023-05-14,6,1,5,134,even_sem_exam,0,27.2,33.5,0.0,0.23,0.53,3875,3060,410,7985.4,16.2,481735.4,941.8,61.75,804.3,7381.7,9055.2
2023-05-15,0,0,5,135,even_sem_exam,0,26.9,33.2,0.0,0.0,0.36,6915,3230,3280,9477.9,13.3,598151.9,1678.9,81.19,972.0,9055.2,9856.1
2023-05-16,1,0,5,136,even_sem_classes,0,26.0,33.1,0.0,0.3,0.36,7557,3298,3854,9854.3,13.7,548583.1,1824.4,83.83,753.3,9856.1,10262.2
2023-05-17,2,0,5,137,even_sem_classes,0,27.1,32.5,0.0,0.01,0.42,7557,3298,3854,10452.5,16.0,590426.6,1818.2,85.71,964.7,10262.2,10635.7
2023-05-18,3,0,5,138,even_sem_classes,0,28.2,34.0,0.0,0.15,0.88,7557,3298,3854,10690.0,33.5,669268.7,1827.6,87.06,862.7,10635.7,10050.2
2023-05-19,4,0,5,139,even_sem_classes,0,26.7,32.3,0.0,0.15,0.52,7557,3298,3854,9875.3,19.8,561595.2,1822.2,85.02,862.7,10050.2,7985.7
2023-05-20,5,1,5,140,even_sem_classes,0,27.2,33.3,0.0,0.16,0.86,3875,3060,410,8377.6,26.4,440764.5,949.8,59.68,855.4,7985.7,7549.3
2023-05-21,6,1,5,141,even_sem_classes,0,28.1,34.6,0.0,0.26,0.18,3875,3060,410,8204.4,5.5,447864.4,938.8,59.45,782.5,7549.3,10081.3
2023-05-22,0,0,5,142,even_sem_classes,0,28.8,34.1,0.0,0.05,0.47,7557,3298,3854,10671.2,17.9,603901.5,1802.6,85.43,935.6,10081.3,10182.5
2023-05-23,1,0,5,143,even_sem_classes,0,26.7,34.6,0.0,0.04,0.21,7557,3298,3854,10266.9,8.0,567563.6,1845.5,85.31,942.8,10182.5,10444.4
2023-05-24,2,0,5,144,even_sem_classes,0,27.4,32.3,0.0,0.02,0,7557,3298,3854,10701.3,0.0,632537.6,1793.1,86.96,957.4,10444.4,10346.4
2023-05-25,3,0,5,145,even_sem_classes,0,26.9,33.1,0.0,0.04,0.1,7557,3298,3854,10452.7,3.8,602237.7,1820.9,86.6,942.8,10346.4,11024.8
2023-05-26,4,0,5,146,even_sem_classes,0,31.2,37.2,0.0,0.16,1.26,7557,3298,3854,11177.5,48.0,657306.3,1829.0,87.37,855.4,11024.8,8005.7
2023-05-27,5,1,5,147,even_sem_classes,0,26.8,34.0,0.0,0.17,0.55,3875,3060,410,8191.2,16.9,483755.8,954.1,60.96,848.1,8005.7,7324.6
2023-05-28,6,1,5,148,even_sem_classes,0,26.8,33.8,0.0,0.24,0.25,3875,3060,410,7889.3,7.7,443246.7,934.2,60.58,797.0,7324.6,9995.6
2023-05-29,0,0,5,149,even_sem_classes,0,27.7,33.6,0.0,0.13,0,7557,3298,3854,10553.0,0.0,564548.1,1840.5,87.45,877.2,9995.6,10518.5
2023-05-30,1,0,5,150,even_sem_classes,0,28.9,35.3,0.0,0.25,0.89,7557,3298,3854,10560.9,33.9,620146.3,1805.9,85.79,789.8,10518.5,10537.5
2023-05-31,2,0,5,151,even_sem_classes,0,30.7,37.9,0.0,0.06,1.08,7557,3298,3854,10553.4,41.2,603433.5,1838.5,85.32,928.3,10537.5,6189.3
2023-06-01,3,0,6,152,summer_break,0,31.6,38.6,0.0,0.24,0.81,880,510,123,7014.5,19.9,86251.2,214.0,12.1,797.0,6189.3,5358.1
